 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.0819556,4.24111,0.147127,2.31097,59.9389,6.10256,0.281956,1.31804,-0.761252,0.648456,8.37511,0.031792,-12.9923,-14.2103,-13.1446,-13.207,8.19227,9.2298,8.32196
-0.0775369,4.24111,0.147127,2.31097,59.9707,6.10256,0.325738,1.27426,-0.780539,0.625107,8.34897,0.0321463,-12.9743,-14.2232,-13.168,-13.2285,8.14535,9.14552,8.3005
-0.0722735,-5.68008,0.166746,2.31885,60.0028,6.13721,0.361925,1.23808,-0.79879,0.60161,8.32216,0.0325752,-12.9603,-14.2383,-13.1916,-13.2494,8.10443,9.067,8.27868
-0.06617,-4.79705,0.190414,2.32775,60.0354,6.09076,0.393295,1.20671,-0.815994,0.57806,8.29469,0.0330722,-12.9485,-14.2541,-13.2154,-13.2694,8.06734,8.99224,8.25644
-0.0592335,-4.79705,0.190414,2.32775,60.0685,6.09076,0.425674,1.17433,-0.832148,0.554554,8.26657,0.0336293,-12.9345,-14.266,-13.2395,-13.2888,8.03051,8.91779,8.23372
-0.051475,-3.92934,0.21676,2.33793,60.1021,6.05125,0.454009,1.14599,-0.84726,0.531178,8.23779,0.0342387,-12.9227,-14.2783,-13.2637,-13.3074,7.99663,8.84652,8.21045
-0.0429089,-3.17433,0.242848,2.34942,60.1363,6.0187,0.481121,1.11888,-0.861348,0.508016,8.20837,0.0348927,-12.9108,-14.289,-13.2883,-13.3252,7.96396,8.77678,8.18658
-0.0335536,-3.17433,0.242848,2.34942,60.1712,6.0187,0.505826,1.09417,-0.874435,0.485142,8.17832,0.0355829,-12.9001,-14.2992,-13.3131,-13.3424,7.93292,8.70915,8.16204
-0.0234306,-2.55227,0.265844,2.36215,60.2068,5.99227,0.527893,1.07211,-0.886554,0.462625,8.14764,0.0363016,-12.8909,-14.3094,-13.3382,-13.3589,7.90342,8.64362,8.1368
-0.0125648,-2.06249,0.285052,2.37594,60.2431,5.97093,0.548935,1.05106,-0.89774,0.440526,8.11633,0.0370414,-12.882,-14.3184,-13.3635,-13.3748,7.87451,8.57936,8.1108
